sla,rating,complaint_ref_no,incident_date,mode,channel_type,from_fois,complaint_type,sub_type,zn_cd,div_cd,dept_cd,\nSTATUS,\ncreated_on,modified_on,diff,complaint,remarks,train_station,own_zn_cd,own_div_cd,commodity_name,forwarded,train_class,berth_no,feedback_remarks,next_station,physical_coach_no,train_name
SLA 1,,2.02404E+12,01-04-2024 10:27,T,A,0,Medical Assistance,Medical Assistance,CR,PUNE,CML,Closed,01-04-2024 10:29,01-04-2024 11:59,01:29,My kid not well,"Sir, talked to you. Details are shared with station authorities at Ahmednagar for arranging necessary medical assistance. Thanks for using Rail Madad. Central Railway will be happy to provide you with the  best of services.  ",12627,SW,SBC,,1,SL,47,,ANG,225305,SBC-NDLS SF KARNATAKA EXP [SUPERFAST]
No,Excellent,2.02404E+12,,T,H,0,Security,Others ,WR,BCT,CML,Closed,01-04-2024 10:29,01-04-2024 11:10,00:40,AI Generated Complaint Description:The slide-back feature of the seat is broken and it is not staying upright; someone else is occupying my reserved seat.  Complaint User Input:लेरी फीड पार्ट को और आगे बैठ गया है वो उठ नहीं रहा है मेरी सीट पर कोई और आगे बैठना,"Good morning Sir, we have been in receipt of your query on RailMadad , in this regard we would like to state that Inconvenience regretted. your matter has been attended by onboard ticket checking staff and your issue has also resolved. We hope this reply of ours suffices your query. Thank you for using RailMadad.    ",12926,WR,BCT,,1,SL,40,,NVS,201937,PASCHIM EXPRESS [SUPERFAST]
No,,2.02404E+12,,T,H,0,Security,Theft of Passengers Belongings/Snatching,NC,AGRA,RPF,Closed,01-04-2024 10:29,01-04-2024 12:16,01:46,AI Generated Complaint Description:My mobile handset has been stolen  Complaint User Input:मेरा मोबाइल हैंडसेट चोरी हो गया है वीडियो,"श्रीमान शिकायतकर्ता से सम्पर्क करने पर बताया कि मथुरा स्टेशन पर गाडी के ठहराव पर मेरा मोबाईल चार्ज लगा हुआ था किसी ने मोबाईल चोरी कर लिया है यात्री को बयाना में rpf द्वारा अटेंड किया गया, यात्री के द्वारा बताया की उनकी यात्रा कोटा तक है और वो कोटा में अपनी FIR कराएँगे , महोदय आपको पुनः कोटा में rpf व जीआरपी स्टाफ अटेंड करेंगे व आपकी रिपोर्ट में मदद करेंगे , महोदय आपकी शिकायत से मथुरा में rpf व grp को अवगत करा दिया गया है cctv चेक किये जा रहे है जो भी कार्यवाही रहेगी उससे आपको अवगत कराया जायेगा , महोदय आपकी शिकायत को केवल डेस्कटॉप से समय सीमा के कारण हटाया जा रहा है कार्यवाही इसमें जारी रहेगी , फीडबैक से आपको अवगत कराया जाएगा",13237,EC,DNR,,3,3A,39,,BTE,131785,PNBE- KOTA  EXPRESS [MAIL EXPRESS]
No,Excellent,2.02404E+12,01-04-2024 10:21,T,M,0,Coach - Cleanliness,Toilet,SE,CKP,CNW,Closed,01-04-2024 10:30,01-04-2024 11:30,01:00, Pnr number 2312355731 sir 2 din se pani aur cleaning ka dikkat hai abhi tak solve nahi hua 8809445554 isme maine call kiya tha kuch nahi hua mein tata nagar pahuch ne wala hun bahut bahut dhanewad railseva  ,"Sir, sorry for the inconvenience caused. Your complaint regarding cleaning of toilet has been attended by on board cleaning staff. Watering will be done at TATA for the next trip as your complaint received when the train was running in between CNI-TATA and after CNI upto TATA there is no watering point.",18102,SE,CKP,,,SL,59,,TATA,193691,JAT-TATA EXP [MAIL EXPRESS]
No,,2.02404E+12,,T,H,0,Security,Unauthorized person in Ladies/Disabled Coach/SLR/Reserve Coach,NR,FZR,RPF,Closed,01-04-2024 10:30,01-04-2024 12:02,01:31,AI Generated Complaint Description:People from general and sleeper class are entering the AC coach.  Complaint User Input:एसी कोच में जनरल और स्लीपर के लोग गुस्साये हैं,Reply PGW :- श्री मान जी जय हिन्द। उक्त शिकायत के संबंध में मन ASI केवल राम हमराह HC कुशल कुमार द्वारा गाड़ी संख्या 11058 को फगवाड़ा स्टेशन पर ऑन अराइवल अटैंड किया तो कोच नंबर M-7 में व्यास डेरा में भंडारा होने के कारण ब्यास डेरा की संगत कोच में चढ़ गई थी। उक्त कोच पूरा पूरा भरा हुआ था। फगवाड़ा स्टेशन पर गाड़ी का ठहराव कम होने के कारण कुछ लोगों को कोच में से हटाया गया इतने में गाड़ी चल पड़ी। ,11058,CR,CSTM,,2,3E,79,,JUC,222218,ASR CSMT EXPRESS [MAIL EXPRESS]
No,Unsatisfactory,2.02404E+12,01-04-2024 10:24,T,A,0,Electrical Equipment,Others,WR,BCT,SNT,Closed,01-04-2024 10:30,01-04-2024 11:22,00:51,Train is late 30 minutes.on mindicator it shows 5 mints can late.thr is no use to late.its just t creae  trouble and  Deliberately to vaitrana- dahanu people.," Respected Sir Madam,   The Inconvenience caused is deeply regretted. Your complain is duly noted and concern staff advised to check and resolve issue. Thanks for your valuable complain.  In your service Indian Railway. ",93010,WR,BCT,,3,,,Kelva to dahanu everywhere extra station so u can pass ur vande bharat or one more fast train.,,,DRD-VR [SUBURBAN]
SLA 1,Unsatisfactory,2.02404E+12,,T,H,0,Water Availability,Toilet,SC,BZA,CNW,Closed,01-04-2024 10:30,01-04-2024 12:53,02:23,AI Generated Complaint Description:Water is not available in the coach cabin.  Complaint User Input:कोच का केबिन में पानी नहीं आ रहा है व्हाट्सएप,"Sir, Sorry for the inconvenience caused. Watering done on arrival at VIJAYAWADA. Thank you for bringing the matter to our notice and assure you of the best services. Please give your valuable feedback to further improve our services.    ",18046,SE,KGP,,6,3A,65,Very bad indian railway no water bhathroom,KZJ,138135,HYB SHM EAST COAST EXP [MAIL EXPRESS]
No,Excellent,2.02404E+12,,T,H,0,Security,Theft of Passengers Belongings/Snatching,NC,ALD,RPF,Closed,01-04-2024 10:30,01-04-2024 11:13,00:42,Customer complained that someone had snatched his belongings ( phone and charger in phone there was cash also ) from the train in his coach there was one boy he took and went., सूचना पर शिकायतकर्ता से संपर्क किया तो उन्होंने बताया कि प्रयागराज स्टेशन पर सहयात्री उनका मोबाइल व चार्जर लेकर उतर गया| अग्रिम कार्यवाही हेतु RPF पोस्ट में SI दिनेश राणा व जीआरपी प्रयागराज  को नोट कराया गया|यात्री FIR दिल्ली कराएँगे  गाड़ी को अटेंड करने हेतु आनंद विहार में लेडी कांस्टेबल सरिता को दे दी गई है,2357,EC,DNR,,1,SL,52,,ANVT,,RJPB-ANVT SF EXPRESS SPL [TRAIN ON DEMAND]
No,,2.02404E+12,01-04-2024 10:29,T,M,0,Coach - Cleanliness,Toilet,NR,DLI,CNW,Closed,01-04-2024 10:30,01-04-2024 11:39,01:08,Train ? No 22412 Ac 3 b2 में toilet साफ नहीं है,"Dear Sir madam, sorry for the inconvenience caused to you. Your complaint has been attended by on-board staff. The same has been confirmed by on-board staff and you. Thanks for bringing the issue to our notice. This will help us to serve our esteemed passengers in a better and efficient manner. We also request you for your valuable feedback for further quality assurance and improvement. We wish you a happy, safe and comfortable journey ahead. # OneRailOneHelpline139",22412,NR,DLI,,,3A,6,,BJU,173130,ARUNACHAL EXP [SUPERFAST]
No,,2.02404E+12,,T,H,0,Electrical Equipment,Fans,NC,AGRA,ELE,Closed,01-04-2024 10:31,01-04-2024 12:22,01:51,customer complaint (inka kahana hai ki train ke coach me fans not working ),Your complaint has been resolved by on board staff. Fan is working now.,12178,NC,AGRA,,,,,,,,MTJ-HWH CHAMBAL EXPRESS [SUPERFAST]
No,Satisfactory,2.02404E+12,01-04-2024 10:29,T,A,0,Staff Behaviour,Staff Behaviour,CR,CSTM,CNW,Closed,01-04-2024 10:31,01-04-2024 11:04,00:32,Railway attender miss behaving. Manoj Kumar 633,"Dear Sir Madam, as per the passenger, the obhs staff collect the bedroll before the train reaches at the destination. your complaint has been raised to concerned officials and strict action will be taken against onboard staff. This type of incident can’t be tolerated. Staff will be either terminated or will be under suspension for a period of time. Thanks for bringing this matter to our notice. Please share your valuable feedback to help us to provide better service. ",22222,CR,CSTM,,1,3A,27,Complaint attended promptly and solved. ,CSMT,182904,NZM-CSMT RAJDHANI [RAJDHANI]
No,,2.02404E+12,,S,H,0,Refund of Tickets,Counter Ticket,IRC,IRC,IRC,Closed,01-04-2024 10:31,01-04-2024 11:39,01:07,Customer complaint that he is not got the refund for counter tickets ,"Dear Customer,     PNR: -6533708531-    We regret for the inconvenience caused to you. Due to some technical problem in payment gateway, there is a delay in the refunding process.We assure you that the steps have already been taken for earlier refund and you may get the refund shortly.  Please co-operate with us. Further you may send your request to Email ID posrefund@irctc.co.in to check and resolve the issue. For your inconvenience we are highly regretted.  ",NCB,,,,1,,,,,,NA
No,,2.02404E+12,01-04-2024 10:22,S,A,0,Unreserved Ticketing,Others,SR,HQ,CML,Closed,01-04-2024 10:32,01-04-2024 12:00,01:28,"I would like to raise the complaint against UTS app as well as ATVM machine.   UTS: When ever i tried to book the urgent ticket it's loading or getting the error that contains ''mock location enabled error even the mock location disabled. Even i reinstall the application, the issue isn't resolved. It's too irritating while we booking the ticket.   ATVM machine: The ATVM machine not working fine at Chindataripet (MCPT) I reported tge same to ticket provider. Like this issue should be fix as soon as possible. Because this is lead to form a queue in the railway station.    Kindly look into those issues. I hope this kind of issues never been repeated. ","Sir,  Your complaint has been noted down. Forwarded to concern authority for necessary action. Inconvenience caused is deeply regretted.",,,,,1,,,,,,NA
No,,2.02404E+12,01-04-2024 10:22,S,M,0,Refund of Tickets,Online Ticket,IRC,IRC,IRC,Closed,01-04-2024 10:32,01-04-2024 10:38,00:06,Not a frequent travel through railway but parents being senior citizens were travelling from Varanasi to Ayodhya which is just 4 hours of travel. The train was delayed by 3.5 hours not only that I was so new to this concept of stations being cancelled.,"Dear Customer,    Your TDR requested against PNR No. -6732805785  - has been forwarded to – NORTHERN RAILWAY (NR) with registration no -203240377035   on date --21-Mar-2024    . Once refund is received from Railway the same will be credited back to your account.    Please note that the decision about the repudiation  rejection or amount of refund has been taken by the concerned Zonal Railways as per extant Refund rules of Indian Railways and not by IRCTC.    Further, please check the latest status of your TDR at below link:  https:  refunds.indianrail.gov.in refund refund.ref_status_public    Inconvenience caused is deeply regretted.  ",,,,,,,,,,,NA
No,,2.02404E+12,,T,H,0,Security,Theft of Passengers Belongings/Snatching,NR,MB,RPF,Closed,01-04-2024 10:32,01-04-2024 11:28,00:56,AI Generated Complaint Description:My belongings have been stolen.  Complaint User Input:मेरा सामान चोरी हुआ है,REF.NO. 2024033006341 पर यात्री ने कल शिकायत की थी। जिसकी एफ़आईआर यात्री ने  रंगया जीआरपी मे दर्ज करा दी है।  यात्री ने बताया कि  रंगया स्टेशन से एफ़आईआर फॉरवर्ड होकर बरेली जीआरपी मे आई है । यात्री को बरेली जीआरपी का नंबर चाहिए था । यात्री को जीआरपी बरेली का नंबर दे दिया गया है ।,20504,NF,TSK,,1,3A,55,,DBRG,131749,RAJDHANI EXPRESS [RAJDHANI]
No,,2.02404E+12,,T,H,0,Security,Theft of Passengers Belongings/Snatching,WC,BPL,RPF,Closed,01-04-2024 10:32,01-04-2024 10:51,00:18,Customer complained that someone had snatched hismobile and prise .  Train No :-12191 Coach No :-S3   ,श्रीमान जी शिकायतकर्ता  संपर्क करने पर बताया कि उनके पति नरेंद्र वर्मा गाड़ी संख्या 12191 से ग्वालियर से जबलपुर की यात्रा कर रहे थे यात्रा के दौरान सुबह-सारी सुबह 4:00 से 5:00 बजे के मध्य उन्होंने अपने पति का मोबाइल मोटोरोला कंपनी का जिसकी कीमत 25000 -रु है चोरी हो जाना बताया यात्री जबलपुर पहुच गए है उन्हे नजदीकी जीआरपी थाना पहुंचकर FIR कराने हेतु सुझाव दिया गया है शिकायतकर्ता से FIR की प्रति मिलने पर संबंधित पोस्ट प्रभारी निरीक्षक महोदय को अवगत कराया जाएगा,12191,WC,JBP,,1,SL,40,,JBP,114976,SHRIDHAM SUPER FAST EXP [SUPERFAST]
No,,2.02404E+12,01-04-2024 10:32,T,M,0,Electrical Equipment,Charging Points,CR,CSTM,ELE,Closed,01-04-2024 10:32,01-04-2024 10:46,00:14,Sir I am travelling from Gwalior to LTT from train 12162 in A1 coach 151375. This coach does not provide the facility of charging port for the side lower and upper berth. PNR 2539674145,"The  coach is old, modernization of all such coaches will be done in phases to provide such facility near seat berth. passenger complaint done on 31 march 2024, showing in rail madad on 1 april 2024. screenshort attached.    ",12162,CR,CSTM,,,2A,41,,,151375,AGC-LTT LASHKAR EXPRESS [SUPERFAST]
No,,2.02404E+12,,T,H,0,Security,Theft of Passengers Belongings/Snatching,EC,SEE,RPF,Closed,01-04-2024 10:32,01-04-2024 12:10,01:37,AI Generated Complaint Description:My phone has been stolen.  Complaint User Input:मेरे फ़ोन को गए,"matter inform to concern rpf post bju ,bgs and srp control katihar for take necessary action.",15946,NF,TSK,,1,,,,,,DBRG-LTT EXPRESS [MAIL EXPRESS]
No,Satisfactory,2.02404E+12,,T,H,0,Security,Unauthorized person in Ladies/Disabled Coach/SLR/Reserve Coach,CR,BSL,CML,Closed,01-04-2024 10:32,01-04-2024 11:29,00:57,AI Generated Complaint Description:There is a bad smell coming from the bathroom.  Complaint User Input:पुंछ में बाथरूम की बदबू आ रही है,ट्रेन के टीटीई Chandu kr Pillay  और आरपीएफ़ स्टाफ द्वारा JL & BSL स्टेशन पर attend कर शिकायत का निपटान किया जाएगा,12779,SW,UBL,,5,SL,1,Koi karvai nh hui pls help me,JL,201669,VSG-NZM GOA EXPRESS [SUPERFAST]
No,,2.02404E+12,01-04-2024 10:13,T,A,0,Electrical Equipment,Air Conditioner ,SR,TVC,ELE,Closed,01-04-2024 10:32,01-04-2024 11:08,00:35,Need proper Ac cooling temperature as nobody is in coach to assist ,"Sir, your compliant has been resolved by the accompanying electrical staff, Inconvenience caused is deeply regretted  MICROPROCESSOR HANGED- ATTENDED",12617,SR,TVC,,,3A,72,,MTJ,205122,ERS-NZM MANGALA SF EXP [SUPERFAST]
SLA 1,,2.02404E+12,,T,H,0,Catering & Vending Services,Food & Water Not Available,IRC,EAST_ZONE,IRCTG,Closed,01-04-2024 10:33,01-04-2024 12:37,02:04,PNR 6431594067 and Phone Number 8527694052,"Sir, Attended by catering staff. Baby food Milk has been provided to you. Now problem solved, same has been texted.  Inconvenience regretted.",12561,EC,SPJ,,,3A,12,,ALJN,171837,SWANTRATA SENANI EXPRESS [SUPERFAST]
No,,2.02404E+12,,T,H,0,Coach - Cleanliness,Coach Interior,WR,RJT,CNW,Closed,01-04-2024 10:33,01-04-2024 11:03,00:30,PNR 8416362721 and Phone Number 9937560191,"SIR, COMPLAINT HAS BEEN ATTENDED BY ON DUTY HOUSEKEEPING STAFF AND SOLVED.  WISH YOU A HAPPY JOURNEY.",22905,WR,RJT,,,3A,35,,G,111025,OKHA - SHM SUF EXP [SUPERFAST]
No,Unsatisfactory,2.02404E+12,,T,H,0,Security,Unauthorized person in Ladies/Disabled Coach/SLR/Reserve Coach,SC,SC,CML,Closed,01-04-2024 10:33,01-04-2024 11:01,00:28,passenger over time that train so that passenger in GEN couch that passenge rasked gude ,"Sir, Informed the matter to the Train TTE & also informed to Security control to Attend the Coach and Solve the Issue.  However, inconvenience caused to you is deeply regretted. ",17205,SC,BZA,,1,SL,6,No one has attended the concern yet. Those old people are suffering there in the train. ,KZJ,217708,SNSI-COA EXP [MAIL EXPRESS]
No,Satisfactory,2.02404E+12,,T,H,0,Electrical Equipment,Charging Points,SW,SBC,ELE,Closed,01-04-2024 10:33,01-04-2024 11:02,00:29,AI Generated Complaint Description:No mobile charging points are working in coach number S1.  Complaint User Input:No Mobile recharging point working in one coach Oh one,Fuse blown- out same has attended . ,12650,SW,SBC,,,SL,25,"Report is wrong,body turned up to attend the reported problem till 12.04pm , when I was in the train",GWL,201621,NZM-YPR SAMPARKRANTI EXP [SUPERFAST]
No,,2.02404E+12,01-04-2024 10:30,T,W,0,Punctuality,Late Running,SE,CKP,CHG,Closed,01-04-2024 10:33,01-04-2024 10:48,00:15,Why the train is running late...?? Please maintain its time as soon,"SIR, SORRY FOR INCONVENIENCE TRAIN NO-20818 LATE RUNNING DUE TO ASSET FAILURE",20818,EO,KUR,,,3A,72,,CKP,226748,NDLS-BBS VIA-SBPY [RAJDHANI]
No,,2.02404E+12,01-04-2024 10:31,T,A,0,Staff Behaviour,Staff Behaviour,CR,CSTM,CNW,Closed,01-04-2024 10:33,01-04-2024 11:04,00:31,Staff Misbehaving Manoj Kumar 633,"Dear Sir Madam, as per the passenger, the obhs staff collect the bedroll before the train reaches at the destination. your complaint has been raised to concerned officials and strict action will be taken against onboard staff. This type of incident can’t be tolerated. Staff will be either terminated or will be under suspension for a period of time. Thanks for bringing this matter to our notice. Please share your valuable feedback to help us to provide better service. ",22222,CR,CSTM,,1,3A,27,,CSMT,182904,NZM-CSMT RAJDHANI [RAJDHANI]
No,,2.02404E+12,01-04-2024 10:31,T,A,0,Water Availability,Toilet,WC,BPL,CNW,Closed,01-04-2024 10:33,01-04-2024 11:46,01:12,Water is not coming through the Faucet With Hose Pipe,"Dear passenger, watering  has been attended at guna station. Kindly share your feedback on our efforts, it will be highly appreciated.",18010,SE,KGP,,2,3A,44,,MNV,,AII-SRC WEEKLY EXP [MAIL EXPRESS]
No,,2.02404E+12,,T,H,0,Electrical Equipment,Air Conditioner ,SE,KGP,ELE,Closed,01-04-2024 10:33,01-04-2024 12:29,01:55,PNR 4160995285 and Phone Number 9334490173,AS PER ONBOARD TECH G K DAS ATTENDED THE COACH B-4 (181036) AND RECTIFIED THE ISSUE.,18046,SE,KGP,,,3A,43,,JER,181036,HYB SHM EAST COAST EXP [MAIL EXPRESS]
No,Unsatisfactory,2.02404E+12,01-04-2024 10:29,T,W,0,Punctuality,Late Running,NR,DLI,CHG,Closed,01-04-2024 10:33,01-04-2024 10:46,00:12,The train arrival time was 7:50 … it’s 10:30 … I am still on train … and still not moving.. I want my refund for my ticket … did this train to reach on time .. but not able to ,"Sir Madam, Greetings of the day!   Indian Railway is here to serve you.  It is intimated that train delayed over AGRA DIVISION due to technical failure en route so train movement effected.   However, to minimize the late running time and improve the quality of service necessary action has been initiated. We assure you to render better service and avoid such type problem in future. Please submit feedback (Rating) and remark, as action initiated by this office and quality of response is received by you.",12155,WC,BPL,,,3A,13,,NZM,205106,SHAN-E-BPL EXP  [SUPERFAST]
No,,2.02404E+12,,T,H,0,Security,Unauthorized person in Ladies/Disabled Coach/SLR/Reserve Coach,EC,SEE,RPF,Closed,01-04-2024 10:33,01-04-2024 12:02,01:29,cx complained unauthorized person are travelling in the coach and the general tickets passenger are in coach,matter inform rpf post see for take necessary action ,12565,EC,SPJ,,4,,,,,,BIHAR SAMPARK KRANTI EXP [SUPERFAST]
No,,2.02404E+12,01-04-2024 10:30,T,M,0,Security,Others ,NW,JP,CML,Closed,01-04-2024 10:33,01-04-2024 10:48,00:14,Train no 15014 PNR 2537736624 and 2409506447 My friend and her parents age 70+ have to board the train from Dausa but are not able to board the train The tickets were confirmed but lot people were hanging on the gate causing trouble  ," प्रिय यात्री, जैसा की आपके द्वारा बताया गया कि भीड़ के कारण आप ट्रेन मे चढ़ नहीं पाये व धन वापसी चाहते है । प्रिय यात्री, नियमानुसार धनवापसी का कोई प्रावधान नहीं है फिर भी आप मुख्य दावा प्रबंधक उत्तर पश्चिम रेल्वे जयपुर को धनवापसी हेतु अपना दावा प्रस्तुत कर सकते है धन्यवाद ।  ",15014,NE,IZN,,1,SL,9,,KSG,,RANIKHET EXP  [MAIL EXPRESS]
No,,2.02404E+12,01-04-2024 10:32,S,A,0,Unreserved Ticketing,UTS/ATVM - Digital Payment,IRC,IRC,IRC,Closed,01-04-2024 10:34,01-04-2024 10:40,00:06,Please refund my money fast,"  Dear customer,     As your payment status for txn id ---30045716724092331033  ------30045716724092330536   - was not communicated by the Payment gateway in time, the ticket booking did not materialize. After reconciliation if the amount is found debited, the same will be processed at Payment Gateway for refund. We ensure that the refund will be made at the earliest. It may take 5-7 working days to be reflect in your account.   For more information regarding UTS mobile app visit at below link: https:  www.utsonmobile.indianrail.gov.in RDS policy faq_?1   We regret for the inconvenience caused.      ",TATA,,,,,,,,,,NA
No,,2.02404E+12,01-04-2024 10:28,T,A,0,Security,Others ,NW,JP,CML,Closed,01-04-2024 10:34,01-04-2024 10:53,00:18,Without tikit 10 log s1 me musafari kar rahe he or falatu me bahes baji kar ke dusaro ko paresan kar rahe he," Dear passenger, your complaint is important for us. Appropriate action is being taken on your complaint. The concerned TTE has been directed to help you as soon as possible with the help of RPF STAFF.THANKYOU  ",19415,WR,ADI,,2,SL,53,,,,SBIB - SVDK EXPRESS [MAIL EXPRESS]
No,,2.02404E+12,,T,H,0,Security,Unauthorized person in Ladies/Disabled Coach/SLR/Reserve Coach,KR,RN,CML,Closed,01-04-2024 10:34,01-04-2024 10:53,00:18,Customer complained that There is an unauthorized person in the SLR Coach  ,"Dear Sir Madam, we are in receipt of your issue on Rail Madad. The concerned official and RPF STAFF has been advised to look into the concern raised by you and to attend at incoming RPF Station Posts. Thank you for highlighting the matter. This will help us to serve our esteemed passengers in a better and efficient manner. Thanks for using Rail madad.",12617,SR,TVC,,2,SL,75,,PNVL,173345,ERS-NZM MANGALA SF EXP [SUPERFAST]
No,Satisfactory,2.02404E+12,,S,H,0,Security,Quarrelling/Hooliganism,CR,CSTM,RPF,Closed,01-04-2024 10:34,01-04-2024 10:39,00:05,customer ka bolna hai ki platform no 4 per passenger ladai ker rahe hai ,श्रीमानजी उक्त मामले मे शिकायतकर्ता से बात कर आरपीएफ़ पोस्ट  LTT मे किरण पाटिल  को नोट कराया गया है । तथा उनके द्वारा आपसे संपर्क कर समस्या का निवारण किया जाएगा । अगर आपकी शिकायत का निवारण नहीं होता तो आप मोबाइल नंबर 8828310026 पर हमसे सीधा संपर्क कर सकते है । रेल मदद का उपयोग करने के लिए धन्यवाद ।  ,LTT,,,,,,,Kuch nahi huwa,,,NA
No,Excellent,2.02404E+12,,T,H,0,Security,Nuisance by Hawkers/Beggar/Eunuch,WC,JBP,RPF,Closed,01-04-2024 10:35,01-04-2024 11:18,00:43,"AI Generated Complaint Description:The person behind is not getting up despite our attempts to make them move and is quarreling with us.  Complaint User Input:क्या हमारे पीठ में व्यक्ति बैठके उनको हम उठाने की कोशिश कर रहे हैं उठ नहीं रहे हैं, हमारे साथ झगड़ा कर रहे हैं","Caller Uday Kumar's seat has been occupied by another passenger who claims the right to the same seat. TTE intervention is required. The matter has been reported to RPF Maihar, HC Umesh Shukla, and GRP Control.   The coach has been attended to at Maihar station by RPF HC Ashish Urmaliya, along with the onboard TTE. The concerned individual has been displaced, and the problem has been peacefully resolved. We appreciate your feedback on improving our services",13202,EC,DNR,,2,SL,8,,MYR,215532,LTT - PNBE EXPRESS [MAIL EXPRESS]
No,,2.02404E+12,,S,H,0,Refund of Tickets,Counter Ticket,IRC,IRC,IRC,Closed,01-04-2024 10:35,01-04-2024 10:49,00:14,customer ki complaint hai counter ticket hai  karwya tha 15\\3\\2024 ko online payment kiya tha uska refund abhi tak nhi aaya hai dono ka refund nhi aaya hai  PNR NO=2311425134,"  Dear Customer,    Amt has been refunded as per following details:      Booking ID: 2311424694   2311425134   -- RFND AMT: -3450  - 4600  -   - REFUND DATE:  17-03-2024  -- Bank Refund Id RRN: -005026523067   005026544855     - Card no. last digit: --7399      The above refund detail has received from the concerned Payment Gateway through which the said transaction has been done. The refund RRN is generated only when the refund is processed from payment gateway to respective card issuing bank. If refund is not reflecting in your statement as given above then please ask your card issuing bank to contact their ATM switch center with the given RRN and get it transferred in your account.    Further you may send your request to Email ID -posrefund@irctc.co.in to check and resolve the issue. For your inconvenience we are highly regretted.  ",NDLS,,,,1,,,,,,NA
No,,2.02404E+12,01-04-2024 10:24,T,W,0,Miscellaneous,Miscellaneous,NF,TSK,CNW,Closed,01-04-2024 10:35,01-04-2024 11:37,01:01,There is a gap in the side lower seat..no any side lower attachment is provided ..it may cause to loss of articles..also the curtain is not fixing properly …request the authority to look into this matter ..,"Dear passenger, We are deeply regretted with the inconvenience caused. We agree with your disappointment .The issue has been temporarily rectified by OBHS staff, we have informed the primary maintenance depot for proper rectification. Thank you!! Jai Hind.",15903,NF,TSK,,1,2A,5,,SLGR,213968,DBRG-CDG EXPRESS [MAIL EXPRESS]
No,,2.02404E+12,31-03-2024 23:04,S,A,0,Unreserved Ticketing,UTS/ATVM - Digital Payment,IRC,IRC,IRC,Closed,01-04-2024 10:35,01-04-2024 10:41,00:05,"I REACHED RS.200 IN MY UTS RWALLET VIA PAYTM, AMOUNT DEBITED FROM MY BANK ACCOUNT BUT NOT CREDITED THE AMOUNT IN RWALLET.","Dear customer,    As your payment status for txn id :-------376654120243V2303456     376654120243V2302139  ----- was not communicated by the Payment gateway in time, after reconciliation if the amount is found debited and wallet not recharge, then the same will be TOPUP in your UTS Wallet (R Wallet) after getting confirmation of successful transaction  from payment gateway .    We ensure that the TOPUP will be made at the earliest.     For more information regarding UTS mobile app visit at below link:  https:  www.utsonmobile.indianrail.gov.in RDS policy faq_?1    We regret for the inconvenience caused.  ",,,,,,,,,,,NA
No,,2.02404E+12,,T,H,0,Security,Theft of Passengers Belongings/Snatching,NR,MB,RPF,Closed,01-04-2024 10:35,01-04-2024 11:30,00:54,AI Generated Complaint Description:My purse was stolen from seat number 20504 B 655 in Rajdhani.  Complaint User Input:मेरा राजधानी में 20504 सीट नंबर बी 655 में पर्स चोरी हुआ,REF.NO. 2024033006341 पर यात्री ने कल शिकायत की थी। जिसकी एफ़आईआर यात्री ने  रंगया जीआरपी मे दर्ज करा दी है।  यात्री ने बताया कि  रंगया स्टेशन से एफ़आईआर फॉरवर्ड होकर बरेली जीआरपी मे आई है । यात्री को बरेली जीआरपी का नंबर चाहिए था । यात्री को जीआरपी बरेली का नंबर दे दिया गया है ।,20504,NF,TSK,,1,3A,55,,DBRG,131749,RAJDHANI EXPRESS [RAJDHANI]
No,,2.02404E+12,01-04-2024 08:00,S,A,0,Staff Behaviour,Staff Behaviour,WR,RTM,CML,Closed,01-04-2024 10:35,01-04-2024 10:54,00:18,Ticket agent bad behavior, No. is not mentioned in the complain.However complain is forwarded to KPP station. ,KPP,,,,,,,,,,NA
No,,2.02404E+12,01-04-2024 10:29,S,W,0,Unreserved Ticketing,UTS/ATVM - Digital Payment,IRC,IRC,IRC,Closed,01-04-2024 10:35,01-04-2024 10:42,00:06,I booked a ticket from hathua junction to patliputra on 1-4-2024.but that ticket has not been booked .please return my money .,"  Dear customer,     As your payment status for txn id ----20057815424092375086      20057815424092375812   ------ was not communicated by the Payment gateway in time, the ticket booking did not materialize. After reconciliation if the amount is found debited, the same will be processed at Payment Gateway for refund. We ensure that the refund will be made at the earliest. It may take 5-7 working days to be reflect in your account.   For more information regarding UTS mobile app visit at below link: https:  www.utsonmobile.indianrail.gov.in RDS policy faq_?1   We regret for the inconvenience caused.      ",,,,,,,,,,,NA
SLA 2,,2.02404E+12,,T,H,0,Water Availability,Others ,EC,SEE,CNW,Closed,01-04-2024 10:35,01-04-2024 14:40,04:04,AI Generated Complaint Description:There is no water supply in our coach.  Complaint User Input:हमारे कोच में पानी नहीं आ रहा है एस्पोर,महोदय आपको हुई असुविधा के लिए हमें बेहद खेद है। आपके कंप्लेंट के अनुसार आप कोच नं.-S4  सीट नं. 2  पर सफर कर रहे है और आपके कोच में पानी की समस्या हुई। इस गाड़ी का पिछला Watering पॉइंट ASN  था। अगला Watering पॉइंट बरौनी में पानी भरवारा गया ।अब पानी आ रहा है ।जिसका पुष्टि आपके द्वारा किया गया। आपकी सहमति से इस कंप्लेंट को बंद किया जा रहा है ।कृपया इसकी आपूर्ति आप अपने महत्वपूर्ण फीडबैक देकर करें। भारतीय रेल आपको बेहतर सेवाएं देने हेतु कृत संकल्प है। धन्यवाद,17007,SC,SC,,1,SL,2,,KIUL,157270,SC DBG EXP [MAIL EXPRESS]
